[PROP/wald] K=1  FRcrit_avg=0.02044149  conf=0.99  n=15299
half_norm=0.00283006  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=196608
EP_control=wald  E_wald_final=0.00283006
Wald_CI(99%):   [0.01761143, 0.02327155]   half=0.00283006   se=0.00109863   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10810440 (n=15299)
injections_used=15299  pilot=15299
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06851346493234851, 0.14956579065625203, 0.09557507843649912, 0.1041859864206811, 0.08012702014837571, 0.08514062397869142, 0.12689274013007387, 0.09291839948689457, 0.08459498986861887, 0.11248590594156481] Δmax = 0.006 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0204 per_class = [0.01562193607425322, 0.007912546836659524, 0.011825154812619183, 0.01560741079663885, 0.01558925419962089, 0.015030691251359269, 0.01562193607425322, 0.04859402575331721, 0.01562193607425322, 0.042159618275704296] agree = 0.980 flip_asym = 0.880

[E_seq] n, E_wald
15299,0.00283006

[E_final] E_wald=0.00283006

Top-100 worst injections
 53) Inj   8901 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.383 | inception3a.branch4.1.conv [6, 92, 0, 0] bit 30
 54) Inj  14617 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [1, 70, 0, 0] bit 30
 55) Inj  10236 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [25, 67, 0, 0] bit 30
 56) Inj   8267 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [24, 69, 0, 0] bit 30
 57) Inj   8563 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [24, 164, 0, 0] bit 30
 58) Inj   4336 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.364 | inception3a.branch4.1.conv [1, 38, 0, 0] bit 30
 59) Inj  11660 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [21, 73, 0, 0] bit 30
 60) Inj  14707 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [21, 146, 0, 0] bit 30
 61) Inj  15214 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [1, 117, 0, 0] bit 30
 62) Inj   7235 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [29, 24, 0, 0] bit 30
 63) Inj  13046 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [29, 177, 0, 0] bit 30
 64) Inj  13542 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch4.1.conv [25, 24, 0, 0] bit 30
 65) Inj   8237 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch4.1.conv [21, 139, 0, 0] bit 30
 66) Inj  14580 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.898 KL=2.340 | inception3a.branch4.1.conv [25, 59, 0, 0] bit 30
 67) Inj   4358 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch4.1.conv [21, 60, 0, 0] bit 30
 68) Inj   6956 | FRcrit=0.906250 | maj=2@0.71 Δmax=0.621 KL=1.671 | inception3a.branch4.1.conv [18, 169, 0, 0] bit 30
 69) Inj   1630 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.898 KL=2.331 | inception3a.branch4.1.conv [25, 79, 0, 0] bit 30
 70) Inj   9187 | FRcrit=0.906250 | maj=2@0.95 Δmax=0.855 KL=2.151 | inception3a.branch4.1.conv [26, 103, 0, 0] bit 30
 71) Inj   6433 | FRcrit=0.906250 | maj=2@0.95 Δmax=0.859 KL=2.173 | inception3a.branch4.1.conv [30, 169, 0, 0] bit 30
 72) Inj  14999 | FRcrit=0.906250 | maj=2@0.75 Δmax=0.664 KL=1.717 | inception3a.branch4.1.conv [0, 122, 0, 0] bit 30
 73) Inj   6674 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch4.1.conv [21, 98, 0, 0] bit 30
 74) Inj   7691 | FRcrit=0.906250 | maj=2@0.53 Δmax=0.441 KL=1.496 | inception3a.branch4.1.conv [18, 83, 0, 0] bit 30
 75) Inj   8867 | FRcrit=0.906250 | maj=2@0.98 Δmax=0.891 KL=2.304 | inception3a.branch4.1.conv [30, 37, 0, 0] bit 30
 76) Inj  11212 | FRcrit=0.906250 | maj=2@0.95 Δmax=0.855 KL=2.153 | inception3a.branch4.1.conv [0, 86, 0, 0] bit 30
 77) Inj   3929 | FRcrit=0.902344 | maj=2@0.88 Δmax=0.793 KL=1.978 | inception3a.branch4.1.conv [0, 87, 0, 0] bit 30
 78) Inj   6257 | FRcrit=0.902344 | maj=5@0.69 Δmax=0.602 KL=1.671 | inception3a.branch4.1.conv [13, 186, 0, 0] bit 30
 79) Inj   6156 | FRcrit=0.902344 | maj=2@0.97 Δmax=0.883 KL=2.271 | inception3a.branch4.1.conv [30, 124, 0, 0] bit 30
 80) Inj  14474 | FRcrit=0.902344 | maj=2@0.69 Δmax=0.602 KL=1.626 | inception3a.branch4.1.conv [18, 181, 0, 0] bit 30
 81) Inj   4064 | FRcrit=0.902344 | maj=2@0.96 Δmax=0.871 KL=2.215 | inception3a.branch4.1.conv [26, 139, 0, 0] bit 30
 82) Inj    282 | FRcrit=0.902344 | maj=2@0.97 Δmax=0.883 KL=2.262 | inception3a.branch4.1.conv [25, 109, 0, 0] bit 30
 83) Inj   3692 | FRcrit=0.902344 | maj=2@0.98 Δmax=0.887 KL=2.277 | inception3a.branch4.1.conv [25, 147, 0, 0] bit 30
 84) Inj  13736 | FRcrit=0.902344 | maj=2@0.98 Δmax=0.887 KL=2.278 | inception3a.branch4.1.conv [25, 168, 0, 0] bit 30
 85) Inj  12513 | FRcrit=0.902344 | maj=2@0.99 Δmax=0.898 KL=2.340 | inception3a.branch4.1.conv [21, 81, 0, 0] bit 30
 86) Inj   7341 | FRcrit=0.898438 | maj=2@0.55 Δmax=0.465 KL=1.476 | inception3a.branch4.1.conv [3, 106, 0, 0] bit 30
 87) Inj   2309 | FRcrit=0.898438 | maj=2@0.83 Δmax=0.738 KL=1.841 | inception3a.branch4.1.conv [0, 162, 0, 0] bit 30
 88) Inj   1652 | FRcrit=0.898438 | maj=2@0.97 Δmax=0.883 KL=2.252 | inception3a.branch4.1.conv [25, 29, 0, 0] bit 30
 89) Inj  15168 | FRcrit=0.898438 | maj=5@0.76 Δmax=0.676 KL=1.781 | inception3a.branch4.1.conv [13, 38, 0, 0] bit 30
