[PROP/wald] K=1  FRcrit_avg=0.02075493  conf=0.99  n=16590
half_norm=0.00285121  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=589824
EP_control=wald  E_wald_final=0.00285121
Wald_CI(99%):   [0.01790372, 0.02360613]   half=0.00285121   se=0.00110684   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11016776 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06852019288728149, 0.14660634229957806, 0.09903391538577457, 0.10417443678420735, 0.08014264052139844, 0.0849113735684147, 0.12689284772453285, 0.09290870818264015, 0.08459162145871006, 0.11221792118746232] Δmax = 0.009 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0205 per_class = [0.015689820231890226, 0.011249042894612515, 0.008635374898445895, 0.015734601388609826, 0.01560277275467149, 0.015381664748753356, 0.01566843845324858, 0.048634116937914404, 0.0156830511260891, 0.042616033755274264] agree = 0.979 flip_asym = 0.919

[E_seq] n, E_wald
16590,0.00285121

[E_final] E_wald=0.00285121

Top-100 worst injections
 70) Inj  10698 | FRcrit=0.910156 | maj=1@0.50 Δmax=0.391 KL=1.410 | inception3a.branch2.0.conv [86, 113, 0, 0] bit 30
 71) Inj   8964 | FRcrit=0.910156 | maj=2@0.92 Δmax=0.832 KL=2.065 | inception3a.branch2.0.conv [87, 73, 0, 0] bit 30
 72) Inj   9404 | FRcrit=0.910156 | maj=2@0.89 Δmax=0.805 KL=2.077 | inception3a.branch2.0.conv [31, 125, 0, 0] bit 30
 73) Inj   8532 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch2.0.conv [75, 149, 0, 0] bit 30
 74) Inj  11044 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch2.0.conv [88, 37, 0, 0] bit 30
 75) Inj   6146 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [76, 51, 0, 0] bit 30
 76) Inj   7483 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [30, 143, 0, 0] bit 30
 77) Inj  11097 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [9, 157, 0, 0] bit 30
 78) Inj   8871 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [38, 145, 0, 0] bit 30
 79) Inj   8176 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [38, 8, 0, 0] bit 30
 80) Inj  12415 | FRcrit=0.910156 | maj=2@0.98 Δmax=0.895 KL=2.330 | inception3a.branch2.0.conv [94, 163, 0, 0] bit 30
 81) Inj  12734 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [18, 51, 0, 0] bit 30
 82) Inj   4807 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception3a.branch2.0.conv [75, 17, 0, 0] bit 30
 83) Inj   7720 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [71, 93, 0, 0] bit 30
 84) Inj   9549 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [38, 141, 0, 0] bit 30
 85) Inj  11870 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [38, 109, 0, 0] bit 30
 86) Inj  11852 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [70, 153, 0, 0] bit 30
 87) Inj   9188 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [47, 107, 0, 0] bit 30
 88) Inj  11401 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.384 | inception3a.branch2.0.conv [52, 161, 0, 0] bit 30
 89) Inj  12680 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.364 | inception3a.branch2.0.conv [52, 149, 0, 0] bit 30
 90) Inj  11679 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [19, 65, 0, 0] bit 30
 91) Inj   4054 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [19, 174, 0, 0] bit 30
 92) Inj   9885 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [70, 180, 0, 0] bit 30
 93) Inj   7816 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [84, 32, 0, 0] bit 30
 94) Inj  10316 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [89, 52, 0, 0] bit 30
 95) Inj   6997 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [50, 130, 0, 0] bit 30
 96) Inj   9606 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [19, 133, 0, 0] bit 30
 97) Inj   5038 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [52, 124, 0, 0] bit 30
 98) Inj  10787 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [27, 78, 0, 0] bit 30
 99) Inj  11536 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [16, 57, 0, 0] bit 30
100) Inj  12770 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch2.0.conv [59, 102, 0, 0] bit 30
