[PROP/wald] K=1  FRcrit_avg=0.02174338  conf=0.99  n=16590
half_norm=0.00291684  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00291684
Wald_CI(99%):   [0.01882654, 0.02466022]   half=0.00291684   se=0.00113231   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11147672 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06846627298071127, 0.15127853752260398, 0.08972978827606992, 0.1050708257986739, 0.08017725286317058, 0.0866784866636528, 0.12742639579566004, 0.09307635435503316, 0.08472441983122363, 0.11337166591320072] Δmax = 0.007 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.276 ΔH = 0.001 BER = 0.0218 per_class = [0.01717547778605113, 0.007668246908753238, 0.019275624393951307, 0.01643560377737593, 0.016892706449668476, 0.014954244068168119, 0.016463002538951905, 0.04985895117540687, 0.016883116883116882, 0.04251557162949568] agree = 0.978 flip_asym = 0.742

[E_seq] n, E_wald
16590,0.00291684

[E_final] E_wald=0.00291684

Top-100 worst injections
 46) Inj   6350 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [25, 123, 0, 0] bit 30
 47) Inj  15129 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [12, 212, 0, 0] bit 30
 48) Inj   4122 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [55, 363, 0, 0] bit 30
 49) Inj  16487 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [55, 162, 0, 0] bit 30
 50) Inj     84 | FRcrit=0.910156 | maj=5@0.62 Δmax=0.531 KL=1.570 | inception4b.branch4.1.conv [41, 262, 0, 0] bit 30
 51) Inj   8440 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [34, 162, 0, 0] bit 30
 52) Inj    262 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [34, 261, 0, 0] bit 30
 53) Inj   5235 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [25, 279, 0, 0] bit 30
 54) Inj   7706 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [27, 124, 0, 0] bit 30
 55) Inj  14894 | FRcrit=0.910156 | maj=5@0.66 Δmax=0.574 KL=1.423 | inception4b.branch4.1.conv [56, 223, 0, 0] bit 30
 56) Inj  12664 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4b.branch4.1.conv [12, 435, 0, 0] bit 30
 57) Inj  16232 | FRcrit=0.906250 | maj=2@1.00 Δmax=0.906 KL=2.383 | inception4b.branch4.1.conv [25, 477, 0, 0] bit 30
 58) Inj   9284 | FRcrit=0.906250 | maj=5@0.63 Δmax=0.543 KL=1.356 | inception4b.branch4.1.conv [56, 337, 0, 0] bit 30
 59) Inj  13952 | FRcrit=0.906250 | maj=5@0.71 Δmax=0.621 KL=1.586 | inception4b.branch4.1.conv [29, 257, 0, 0] bit 30
 60) Inj   5978 | FRcrit=0.906250 | maj=2@0.99 Δmax=0.902 KL=2.360 | inception4b.branch4.1.conv [59, 476, 0, 0] bit 30
 61) Inj   1410 | FRcrit=0.906250 | maj=5@0.98 Δmax=0.891 KL=2.331 | inception4b.branch4.1.conv [46, 182, 0, 0] bit 30
 62) Inj   1520 | FRcrit=0.906250 | maj=7@0.57 Δmax=0.469 KL=1.274 | inception4b.branch4.1.conv [51, 159, 0, 0] bit 30
 63) Inj   3929 | FRcrit=0.906250 | maj=4@0.79 Δmax=0.707 KL=1.897 | inception4b.branch4.1.conv [23, 380, 0, 0] bit 30
 64) Inj  15662 | FRcrit=0.902344 | maj=1@0.60 Δmax=0.457 KL=1.193 | inception4b.branch4.1.conv [5, 214, 0, 0] bit 30
 65) Inj  16567 | FRcrit=0.902344 | maj=3@0.96 Δmax=0.859 KL=2.086 | inception4b.branch4.1.conv [60, 385, 0, 0] bit 30
 66) Inj    787 | FRcrit=0.902344 | maj=5@0.73 Δmax=0.648 KL=1.662 | inception4b.branch4.1.conv [56, 170, 0, 0] bit 30
 67) Inj   2551 | FRcrit=0.902344 | maj=3@0.71 Δmax=0.609 KL=1.562 | inception4b.branch4.1.conv [33, 453, 0, 0] bit 30
