[PROP/wald] K=1  FRcrit_avg=0.01863724  conf=0.99  n=15603
half_norm=0.00270472  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=262144
EP_control=wald  E_wald_final=0.00270472
Wald_CI(99%):   [0.01593252, 0.02134196]   half=0.00270472   se=0.00104997   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10094753 (n=15603)
injections_used=15603  pilot=15603
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06866868550919696, 0.149014061799013, 0.09526137802025252, 0.10441251281804781, 0.08031207940780619, 0.08480240178170864, 0.12716805261808625, 0.09312211593924245, 0.08478062111452926, 0.1124580909921169] Δmax = 0.005 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0185 per_class = [0.013477800272195015, 0.0069425318415897155, 0.010432776305559967, 0.013492182177691374, 0.013455745689931423, 0.013453123816515472, 0.0134958506425532, 0.046488495802089344, 0.013461863394568644, 0.04040248670127539] agree = 0.981 flip_asym = 0.898

[E_seq] n, E_wald
15603,0.00270472

[E_final] E_wald=0.00270472

Top-100 worst injections
 85) Inj  12345 | FRcrit=0.902344 | maj=2@0.86 Δmax=0.773 KL=1.946 | inception3b.branch3.0.conv [14, 119, 0, 0] bit 30
 86) Inj  13864 | FRcrit=0.902344 | maj=2@0.92 Δmax=0.832 KL=2.098 | inception3b.branch3.0.conv [12, 124, 0, 0] bit 30
 87) Inj   7170 | FRcrit=0.902344 | maj=2@0.93 Δmax=0.844 KL=2.134 | inception3b.branch3.0.conv [14, 103, 0, 0] bit 30
 88) Inj   6321 | FRcrit=0.902344 | maj=1@0.55 Δmax=0.402 KL=1.461 | inception3b.branch3.0.conv [14, 86, 0, 0] bit 30
 89) Inj   7606 | FRcrit=0.898438 | maj=2@0.88 Δmax=0.793 KL=1.993 | inception3b.branch3.0.conv [3, 111, 0, 0] bit 30
 90) Inj    629 | FRcrit=0.898438 | maj=2@0.87 Δmax=0.781 KL=1.964 | inception3b.branch3.0.conv [31, 99, 0, 0] bit 30
 91) Inj   6185 | FRcrit=0.898438 | maj=2@0.96 Δmax=0.867 KL=2.212 | inception3b.branch3.0.conv [14, 238, 0, 0] bit 30
 92) Inj  13567 | FRcrit=0.898438 | maj=2@0.81 Δmax=0.719 KL=1.830 | inception3b.branch3.0.conv [12, 154, 0, 0] bit 30
 93) Inj    638 | FRcrit=0.898438 | maj=2@0.98 Δmax=0.887 KL=2.276 | inception3b.branch3.0.conv [1, 231, 0, 0] bit 30
 94) Inj  11389 | FRcrit=0.894531 | maj=2@0.89 Δmax=0.797 KL=2.003 | inception3b.branch3.0.conv [21, 158, 0, 0] bit 30
 95) Inj   1048 | FRcrit=0.890625 | maj=2@0.65 Δmax=0.559 KL=1.594 | inception3b.branch3.0.conv [4, 105, 0, 0] bit 30
 96) Inj  15505 | FRcrit=0.890625 | maj=2@0.91 Δmax=0.824 KL=2.076 | inception3b.branch3.0.conv [6, 88, 0, 0] bit 30
 97) Inj  11705 | FRcrit=0.890625 | maj=1@0.61 Δmax=0.461 KL=1.451 | inception3b.branch3.0.conv [4, 50, 0, 0] bit 30
 98) Inj   6542 | FRcrit=0.890625 | maj=2@0.64 Δmax=0.551 KL=1.586 | inception3b.branch3.0.conv [28, 69, 0, 0] bit 30
 99) Inj   4224 | FRcrit=0.886719 | maj=2@0.87 Δmax=0.781 KL=1.964 | inception3b.branch3.0.conv [13, 55, 0, 0] bit 30
100) Inj  10197 | FRcrit=0.886719 | maj=2@0.80 Δmax=0.707 KL=1.808 | inception3b.branch3.0.conv [3, 94, 0, 0] bit 30
