[PROP/wald] K=1  FRcrit_avg=0.01967662  conf=0.99  steps=3  n=96656
half_norm=0.00099938  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=393216
EP_control=wald  E_wald_final=0.00099938
Wald_CI(99%):   [0.01867723, 0.02067600]   half=0.00099938   se=0.00038796   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.10487280 (n=96656)
injections_used=96656  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06859147227021603, 0.15110510308465072, 0.09368958115636898, 0.10427884229897781, 0.0802991084361033, 0.08467428140777603, 0.1270116443883463, 0.09296774773423275, 0.08507862289976825, 0.11230359632355984] Δmax = 0.007 KL = 0.001 TV = 0.015 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0197 per_class = [0.014697362143003203, 0.006016600527029264, 0.013148827216916289, 0.014696640855389407, 0.014627648568117862, 0.014699270891333464, 0.014697546563131731, 0.04801026320145671, 0.014273675339724007, 0.04167597803895602] agree = 0.980 flip_asym = 0.872

[E_seq] n, E_wald
663,0.01261115
61474,0.00132086
96068,0.00100405
96656,0.00099938

[E_final] E_wald=0.00099938

Top-100 worst injections (proposed iter EP)
 85) Inj  48140 | FRcrit=0.914062 | maj=2@0.91 Δmax=0.816 KL=2.026 | inception4c.branch3.0.conv [5, 347, 0, 0] bit 30
 86) Inj  74264 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 445, 0, 0] bit 30
 87) Inj  71737 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.898 KL=2.340 | inception4c.branch3.0.conv [19, 246, 0, 0] bit 30
 88) Inj  47472 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.887 KL=2.287 | inception4c.branch3.0.conv [19, 316, 0, 0] bit 30
 89) Inj  60965 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 150, 0, 0] bit 30
 90) Inj  73945 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.871 KL=2.226 | inception4c.branch3.0.conv [18, 236, 0, 0] bit 30
 91) Inj  51679 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 37, 0, 0] bit 30
 92) Inj  46109 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 113, 0, 0] bit 30
 93) Inj  56523 | FRcrit=0.914062 | maj=2@0.94 Δmax=0.852 KL=2.159 | inception4c.branch3.0.conv [17, 303, 0, 0] bit 30
 94) Inj  58636 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception4c.branch3.0.conv [8, 197, 0, 0] bit 30
 95) Inj  69292 | FRcrit=0.914062 | maj=2@0.95 Δmax=0.855 KL=2.172 | inception4c.branch3.0.conv [22, 342, 0, 0] bit 30
 96) Inj  63954 | FRcrit=0.914062 | maj=2@0.97 Δmax=0.879 KL=2.246 | inception4c.branch3.0.conv [10, 315, 0, 0] bit 30
 97) Inj  70116 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 31, 0, 0] bit 30
 98) Inj  65122 | FRcrit=0.914062 | maj=2@0.89 Δmax=0.801 KL=2.012 | inception4c.branch3.0.conv [11, 120, 0, 0] bit 30
 99) Inj  71346 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception4c.branch3.0.conv [22, 53, 0, 0] bit 30
100) Inj  52522 | FRcrit=0.914062 | maj=2@0.99 Δmax=0.902 KL=2.365 | inception4c.branch3.0.conv [23, 281, 0, 0] bit 30
