[PROP/wald] K=1  FRcrit_avg=0.01878065  conf=0.99  steps=2  n=1249
half_norm=0.00989471  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=14745600
EP_control=wald  E_wald_final=0.00989471
Wald_CI(99%):   [0.00888594, 0.02867536]   half=0.00989471   se=0.00384111   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10169170 (n=1249)
injections_used=1249  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06875500400320256, 0.1442654123298639, 0.08987815252201761, 0.10518101981585268, 0.0803236339071257, 0.08605947257806244, 0.1271673588871097, 0.09306507706164932, 0.09123861589271418, 0.11406625300240192] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0184 per_class = [0.01290444120001884, 0.011317161837578171, 0.015838757962892053, 0.012810248198558846, 0.013610888710968775, 0.01200960768614892, 0.013489579542421816, 0.04701361088871097, 0.006441516849843511, 0.03869762476647985] agree = 0.981 flip_asym = 0.791

[E_seq] n, E_wald
664,0.01347771
1207,0.01016938
1249,0.00989471

[E_final] E_wald=0.00989471

Top-100 worst injections (proposed iter EP)
 51) Inj    459 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [135, 96, 2, 0] bit 21
 52) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [65, 131, 1, 0] bit 28
 53) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [92, 45, 0, 0] bit 2
 54) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [288, 68, 0, 0] bit 30
 55) Inj    489 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [199, 111, 1, 1] bit 23
 56) Inj    477 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [123, 24, 2, 1] bit 17
 57) Inj    182 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [289, 47, 2, 1] bit 10
 58) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [290, 79, 1, 1] bit 30
 59) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [219, 144, 1, 1] bit 25
 60) Inj    331 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [87, 26, 2, 2] bit 29
 61) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [72, 154, 1, 2] bit 7
 62) Inj    525 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [13, 123, 1, 0] bit 27
 63) Inj    345 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [255, 84, 1, 1] bit 27
 64) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [215, 52, 0, 0] bit 25
 65) Inj    557 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [247, 52, 0, 2] bit 5
 66) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [315, 130, 2, 1] bit 25
 67) Inj    620 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [318, 74, 2, 2] bit 6
 68) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [285, 51, 0, 2] bit 1
 69) Inj    751 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [181, 129, 2, 2] bit 17
 70) Inj    419 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [291, 33, 0, 1] bit 13
 71) Inj    713 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [80, 114, 1, 1] bit 8
 72) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [77, 86, 0, 2] bit 21
 73) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [197, 107, 2, 0] bit 9
 74) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [158, 66, 1, 2] bit 6
 75) Inj    756 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [310, 107, 1, 2] bit 20
 76) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [57, 23, 2, 2] bit 0
 77) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [265, 90, 1, 2] bit 24
 78) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [115, 90, 2, 1] bit 18
 79) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [303, 1, 2, 1] bit 0
 80) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [218, 156, 2, 1] bit 12
 81) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [200, 83, 2, 1] bit 28
 82) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [183, 86, 1, 0] bit 14
 83) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [85, 68, 2, 1] bit 5
 84) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [290, 34, 0, 2] bit 21
 85) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [89, 37, 2, 2] bit 30
 86) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [216, 157, 1, 0] bit 0
 87) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [294, 44, 2, 0] bit 25
