[PROP/wald] K=1  FRcrit_avg=0.02057621  conf=0.99  n=16590
half_norm=0.00283917  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=11943936
EP_control=wald  E_wald_final=0.00283917
Wald_CI(99%):   [0.01773705, 0.02341538]   half=0.00283917   se=0.00110216   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10887516 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06912555568113321, 0.14851496571729958, 0.09000409697106691, 0.10502279234478601, 0.08049865317962628, 0.08614446767631104, 0.12742239300783603, 0.09332405628390597, 0.0850580639692586, 0.11488495516877636] Δmax = 0.004 KL = 0.000 TV = 0.009 H_baseline = 2.277 H_global = 2.277 ΔH = -0.001 BER = 0.0205 per_class = [0.015062227422614616, 0.009514034830490526, 0.017760830253950782, 0.014810349831446877, 0.015265220012055455, 0.014058304564633679, 0.015091237876048002, 0.04839300783604581, 0.015195353170036714, 0.039811131203536264] agree = 0.979 flip_asym = 0.640

[E_seq] n, E_wald
16590,0.00283917

[E_final] E_wald=0.00283917

Top-100 worst injections
 70) Inj   2927 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [119, 2, 2, 0] bit 30
 71) Inj  11762 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [159, 63, 0, 1] bit 30
 72) Inj   7074 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [195, 8, 1, 2] bit 30
 73) Inj  15333 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [12, 140, 0, 0] bit 30
 74) Inj   6885 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [119, 5, 2, 0] bit 30
 75) Inj   5204 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [98, 14, 2, 0] bit 30
 76) Inj   6818 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [40, 36, 0, 1] bit 30
 77) Inj   7654 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [179, 0, 2, 2] bit 30
 78) Inj  10949 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [234, 5, 2, 0] bit 30
 79) Inj  15968 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [127, 86, 2, 1] bit 30
 80) Inj   7372 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [269, 43, 0, 1] bit 30
 81) Inj  10958 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [12, 91, 0, 0] bit 30
 82) Inj  11875 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4d.branch2.1.conv [40, 27, 0, 1] bit 30
 83) Inj  14365 | FRcrit=0.910156 | maj=7@0.93 Δmax=0.832 KL=2.044 | inception4d.branch2.1.conv [165, 2, 1, 1] bit 30
 84) Inj   5227 | FRcrit=0.906250 | maj=9@0.80 Δmax=0.688 KL=1.702 | inception4d.branch2.1.conv [20, 75, 0, 2] bit 30
 85) Inj  14250 | FRcrit=0.906250 | maj=2@0.92 Δmax=0.832 KL=2.129 | inception4d.branch2.1.conv [243, 64, 2, 0] bit 30
 86) Inj   8850 | FRcrit=0.906250 | maj=3@0.58 Δmax=0.473 KL=1.359 | inception4d.branch2.1.conv [183, 69, 0, 0] bit 30
