[PROP/wald] K=1  FRcrit_avg=0.01979402  conf=0.99  n=16590
half_norm=0.00278579  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00278579
Wald_CI(99%):   [0.01700823, 0.02257981]   half=0.00278579   se=0.00108144   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10556618 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06856916817359855, 0.14979468053044, 0.0911326476793249, 0.10428910488245931, 0.08021068791440628, 0.0879127580620856, 0.12776992917420132, 0.09299206035262206, 0.08466178797468354, 0.11266717525617842] Δmax = 0.005 KL = 0.000 TV = 0.013 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0197 per_class = [0.014888487040385775, 0.0072951794470781815, 0.015837198941216553, 0.014857232156810216, 0.014804098854731766, 0.011655433174420516, 0.014081136865946992, 0.04781675708257987, 0.014850128774179407, 0.04131806309021499] agree = 0.980 flip_asym = 0.806

[E_seq] n, E_wald
16590,0.00278579

[E_final] E_wald=0.00278579

Top-100 worst injections
 57) Inj   2259 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [40, 226, 0, 0] bit 30
 58) Inj   2575 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [44, 123, 0, 0] bit 30
 59) Inj   6540 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [60, 233, 0, 0] bit 30
 60) Inj  15478 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [99, 243, 0, 0] bit 30
 61) Inj    943 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [60, 196, 0, 0] bit 30
 62) Inj   4916 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [0, 199, 0, 0] bit 30
 63) Inj  15555 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [71, 53, 0, 0] bit 30
 64) Inj  16212 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [97, 49, 0, 0] bit 30
 65) Inj   1536 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [99, 130, 0, 0] bit 30
 66) Inj   3837 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [96, 252, 0, 0] bit 30
 67) Inj   4181 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [40, 228, 0, 0] bit 30
 68) Inj  16570 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [1, 198, 0, 0] bit 30
 69) Inj   4792 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.898 KL=2.334 | inception3b.branch1.conv [2, 119, 0, 0] bit 30
 70) Inj  11024 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [99, 181, 0, 0] bit 30
 71) Inj    822 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [44, 45, 0, 0] bit 30
 72) Inj   7310 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [0, 48, 0, 0] bit 30
 73) Inj  16234 | FRcrit=0.910156 | maj=5@0.99 Δmax=0.902 KL=2.384 | inception3b.branch1.conv [28, 82, 0, 0] bit 30
 74) Inj   7079 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [14, 1, 0, 0] bit 30
 75) Inj  10177 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [14, 242, 0, 0] bit 30
 76) Inj  11846 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [71, 229, 0, 0] bit 30
 77) Inj    180 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [57, 28, 0, 0] bit 30
 78) Inj   5583 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [44, 146, 0, 0] bit 30
 79) Inj   2320 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [44, 165, 0, 0] bit 30
 80) Inj   2025 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [127, 13, 0, 0] bit 30
 81) Inj   4604 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [44, 127, 0, 0] bit 30
 82) Inj  10944 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [127, 254, 0, 0] bit 30
 83) Inj   4032 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3b.branch1.conv [127, 172, 0, 0] bit 30
 84) Inj  15818 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3b.branch1.conv [93, 254, 0, 0] bit 30
 85) Inj   9998 | FRcrit=0.906250 | maj=2@0.97 Δmax=0.879 KL=2.241 | inception3b.branch1.conv [2, 208, 0, 0] bit 30
 86) Inj  13854 | FRcrit=0.906250 | maj=2@0.98 Δmax=0.887 KL=2.287 | inception3b.branch1.conv [1, 86, 0, 0] bit 30
 87) Inj   4122 | FRcrit=0.906250 | maj=2@0.68 Δmax=0.586 KL=1.626 | inception3b.branch1.conv [111, 107, 0, 0] bit 30
 88) Inj  16137 | FRcrit=0.906250 | maj=5@0.85 Δmax=0.766 KL=1.957 | inception3b.branch1.conv [5, 92, 0, 0] bit 30
 89) Inj  11659 | FRcrit=0.906250 | maj=5@0.92 Δmax=0.836 KL=2.139 | inception3b.branch1.conv [12, 116, 0, 0] bit 30
 90) Inj   2269 | FRcrit=0.902344 | maj=2@0.89 Δmax=0.805 KL=2.023 | inception3b.branch1.conv [23, 91, 0, 0] bit 30
 91) Inj   1687 | FRcrit=0.902344 | maj=2@0.97 Δmax=0.883 KL=2.271 | inception3b.branch1.conv [57, 87, 0, 0] bit 30
 92) Inj   5228 | FRcrit=0.902344 | maj=5@0.92 Δmax=0.836 KL=2.139 | inception3b.branch1.conv [12, 156, 0, 0] bit 30
 93) Inj   8371 | FRcrit=0.902344 | maj=5@0.86 Δmax=0.770 KL=1.966 | inception3b.branch1.conv [12, 109, 0, 0] bit 30
 94) Inj   5128 | FRcrit=0.902344 | maj=2@0.55 Δmax=0.465 KL=1.511 | inception3b.branch1.conv [40, 223, 0, 0] bit 30
 95) Inj    593 | FRcrit=0.902344 | maj=2@0.96 Δmax=0.867 KL=2.212 | inception3b.branch1.conv [55, 254, 0, 0] bit 30
 96) Inj   7623 | FRcrit=0.898438 | maj=2@0.89 Δmax=0.805 KL=2.023 | inception3b.branch1.conv [75, 76, 0, 0] bit 30
 97) Inj   5513 | FRcrit=0.894531 | maj=2@0.58 Δmax=0.488 KL=1.436 | inception3b.branch1.conv [55, 201, 0, 0] bit 30
 98) Inj   3360 | FRcrit=0.890625 | maj=2@0.81 Δmax=0.723 KL=1.838 | inception3b.branch1.conv [96, 79, 0, 0] bit 30
 99) Inj   5249 | FRcrit=0.886719 | maj=1@0.68 Δmax=0.535 KL=1.374 | inception3b.branch1.conv [77, 188, 0, 0] bit 30
100) Inj   7518 | FRcrit=0.886719 | maj=6@0.80 Δmax=0.668 KL=1.521 | inception3b.branch1.conv [123, 202, 0, 0] bit 30
