[PROP/wald] K=1  FRcrit_avg=0.02024798  conf=0.99  n=16590
half_norm=0.00281690  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=393216
EP_control=wald  E_wald_final=0.00281690
Wald_CI(99%):   [0.01743108, 0.02306489]   half=0.00281690   se=0.00109352   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10816306 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855080244122966, 0.14575892857142858, 0.09840218128390597, 0.10426249811633514, 0.08021233612115733, 0.08559726303496082, 0.12696631065400843, 0.09295697709463532, 0.08463941945449066, 0.1126532832278481] Δmax = 0.009 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0200 per_class = [0.015143779030599581, 0.011498297574246941, 0.00858033912519328, 0.01508717880025897, 0.014996986136226643, 0.014241876267192723, 0.015080278371417613, 0.048161543098251956, 0.015115896761466381, 0.04161342174000402] agree = 0.980 flip_asym = 0.895

[E_seq] n, E_wald
16590,0.00281690

[E_final] E_wald=0.00281690

Top-100 worst injections
 56) Inj   6548 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch1.conv [14, 151, 0, 0] bit 30
 57) Inj   4757 | FRcrit=0.910156 | maj=1@0.56 Δmax=0.418 KL=1.457 | inception3a.branch1.conv [38, 163, 0, 0] bit 30
 58) Inj   4592 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [16, 74, 0, 0] bit 30
 59) Inj  10539 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [46, 39, 0, 0] bit 30
 60) Inj   5249 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [19, 82, 0, 0] bit 30
 61) Inj   7145 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [17, 90, 0, 0] bit 30
 62) Inj   6433 | FRcrit=0.910156 | maj=2@0.91 Δmax=0.824 KL=2.120 | inception3a.branch1.conv [22, 116, 0, 0] bit 30
 63) Inj  11483 | FRcrit=0.910156 | maj=2@0.66 Δmax=0.574 KL=1.612 | inception3a.branch1.conv [13, 174, 0, 0] bit 30
 64) Inj   8979 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [30, 140, 0, 0] bit 30
 65) Inj   5101 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [18, 46, 0, 0] bit 30
 66) Inj   6267 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [18, 12, 0, 0] bit 30
 67) Inj   2790 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [59, 97, 0, 0] bit 30
 68) Inj   3473 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [19, 143, 0, 0] bit 30
 69) Inj   4288 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [11, 162, 0, 0] bit 30
 70) Inj   9398 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [19, 86, 0, 0] bit 30
 71) Inj   7620 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [10, 62, 0, 0] bit 30
 72) Inj   9323 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [10, 143, 0, 0] bit 30
 73) Inj   8307 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [8, 61, 0, 0] bit 30
 74) Inj   8776 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [37, 33, 0, 0] bit 30
 75) Inj  10957 | FRcrit=0.910156 | maj=2@0.79 Δmax=0.699 KL=1.794 | inception3a.branch1.conv [54, 158, 0, 0] bit 30
 76) Inj  11316 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch1.conv [11, 105, 0, 0] bit 30
 77) Inj  10493 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [59, 47, 0, 0] bit 30
 78) Inj   8754 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [10, 79, 0, 0] bit 30
