[PROP/wald] K=1  FRcrit_avg=0.01844485  conf=0.99  n=16590
half_norm=0.00269102  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2359296
EP_control=wald  E_wald_final=0.00269102
Wald_CI(99%):   [0.01575382, 0.02113587]   half=0.00269102   se=0.00104465   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.09953706 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.0686951382610006, 0.15010360156720917, 0.09046347573839662, 0.10444356540084389, 0.08035502373417722, 0.08479364451476794, 0.12721542533152502, 0.09319596707353828, 0.08572488132911392, 0.11500927704942737] Δmax = 0.006 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.277 ΔH = 0.000 BER = 0.0184 per_class = [0.013381555153707052, 0.005853412182526107, 0.015226563933223261, 0.013345835286763556, 0.013321277878239904, 0.013329497506712697, 0.013290225948453797, 0.04654370102471368, 0.012419858622390268, 0.037739602169981915] agree = 0.982 flip_asym = 0.812

[E_seq] n, E_wald
16590,0.00269102

[E_final] E_wald=0.00269102

Top-100 worst injections
 43) Inj   3957 | FRcrit=0.906250 | maj=8@0.94 Δmax=0.852 KL=2.188 | inception4d.branch2.0.conv [86, 168, 0, 0] bit 30
 44) Inj   9200 | FRcrit=0.906250 | maj=2@0.96 Δmax=0.871 KL=2.226 | inception4d.branch2.0.conv [66, 207, 0, 0] bit 30
 45) Inj  12508 | FRcrit=0.902344 | maj=1@0.70 Δmax=0.559 KL=1.467 | inception4d.branch2.0.conv [76, 306, 0, 0] bit 30
 46) Inj   7467 | FRcrit=0.902344 | maj=2@0.96 Δmax=0.867 KL=2.212 | inception4d.branch2.0.conv [58, 218, 0, 0] bit 30
 47) Inj  15086 | FRcrit=0.898438 | maj=9@0.69 Δmax=0.570 KL=1.538 | inception4d.branch2.0.conv [115, 501, 0, 0] bit 30
 48) Inj  13389 | FRcrit=0.898438 | maj=8@0.68 Δmax=0.590 KL=1.606 | inception4d.branch2.0.conv [90, 273, 0, 0] bit 30
 49) Inj   4870 | FRcrit=0.894531 | maj=2@0.96 Δmax=0.875 KL=2.241 | inception4d.branch2.0.conv [59, 221, 0, 0] bit 30
 50) Inj    149 | FRcrit=0.894531 | maj=1@0.66 Δmax=0.512 KL=1.179 | inception4d.branch2.0.conv [15, 320, 0, 0] bit 30
 51) Inj   1146 | FRcrit=0.894531 | maj=2@0.71 Δmax=0.625 KL=1.676 | inception4d.branch2.0.conv [40, 150, 0, 0] bit 30
 52) Inj  11639 | FRcrit=0.894531 | maj=2@0.98 Δmax=0.895 KL=2.317 | inception4d.branch2.0.conv [74, 501, 0, 0] bit 30
 53) Inj  13060 | FRcrit=0.890625 | maj=9@0.87 Δmax=0.750 KL=1.788 | inception4d.branch2.0.conv [46, 483, 0, 0] bit 30
 54) Inj  10867 | FRcrit=0.886719 | maj=2@0.58 Δmax=0.488 KL=1.436 | inception4d.branch2.0.conv [115, 504, 0, 0] bit 30
 55) Inj    625 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [23, 158, 0, 0] bit 30
 56) Inj   2164 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [105, 300, 0, 0] bit 30
 57) Inj   4465 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [65, 207, 0, 0] bit 30
 58) Inj   1207 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [23, 102, 0, 0] bit 30
 59) Inj   1504 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [88, 409, 0, 0] bit 30
 60) Inj  12008 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [4, 187, 0, 0] bit 30
 61) Inj   1015 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [108, 101, 0, 0] bit 30
 62) Inj   3166 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [108, 33, 0, 0] bit 30
 63) Inj   2888 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [91, 264, 0, 0] bit 30
 64) Inj   8754 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [4, 294, 0, 0] bit 30
 65) Inj   5204 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [47, 361, 0, 0] bit 30
 66) Inj   1954 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [80, 397, 0, 0] bit 30
 67) Inj   2999 | FRcrit=0.882812 | maj=9@1.00 Δmax=0.883 KL=2.144 | inception4d.branch2.0.conv [95, 159, 0, 0] bit 30
