[PROP/wald] K=1  FRcrit_avg=0.01903326  conf=0.99  n=16590
half_norm=0.00273279  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2097152
EP_control=wald  E_wald_final=0.00273279
Wald_CI(99%):   [0.01630047, 0.02176605]   half=0.00273279   se=0.00106087   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10236532 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06862473628691983, 0.14978290762507535, 0.08937518836648584, 0.10450549088306209, 0.0803519627787824, 0.08868694431886678, 0.1283738792194093, 0.09307517706449668, 0.08475856125678119, 0.11246515220012056] Δmax = 0.005 KL = 0.000 TV = 0.012 H_baseline = 2.277 H_global = 2.277 ΔH = -0.000 BER = 0.0190 per_class = [0.014009147962982662, 0.006619096492514214, 0.016877637130801686, 0.013895028241019802, 0.013899939722724533, 0.01001150747986191, 0.012778782399035564, 0.04699457504520796, 0.013981588032220944, 0.04078963230861965] agree = 0.981 flip_asym = 0.838

[E_seq] n, E_wald
16590,0.00273279

[E_final] E_wald=0.00273279

Top-100 worst injections
 64) Inj  10789 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4c.branch2.0.conv [70, 384, 0, 0] bit 30
 65) Inj   4340 | FRcrit=0.910156 | maj=5@0.94 Δmax=0.852 KL=2.188 | inception4c.branch2.0.conv [49, 286, 0, 0] bit 30
 66) Inj   2935 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4c.branch2.0.conv [39, 197, 0, 0] bit 30
 67) Inj  11828 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4c.branch2.0.conv [70, 65, 0, 0] bit 30
 68) Inj  14070 | FRcrit=0.910156 | maj=2@0.97 Δmax=0.883 KL=2.271 | inception4c.branch2.0.conv [80, 201, 0, 0] bit 30
 69) Inj   7887 | FRcrit=0.910156 | maj=5@0.89 Δmax=0.809 KL=1.979 | inception4c.branch2.0.conv [100, 503, 0, 0] bit 30
 70) Inj   5619 | FRcrit=0.906250 | maj=2@0.71 Δmax=0.617 KL=1.684 | inception4c.branch2.0.conv [82, 359, 0, 0] bit 30
 71) Inj   6526 | FRcrit=0.906250 | maj=2@0.97 Δmax=0.883 KL=2.271 | inception4c.branch2.0.conv [26, 117, 0, 0] bit 30
 72) Inj  11920 | FRcrit=0.906250 | maj=2@0.48 Δmax=0.387 KL=1.285 | inception4c.branch2.0.conv [57, 366, 0, 0] bit 30
 73) Inj   8222 | FRcrit=0.902344 | maj=2@0.99 Δmax=0.902 KL=2.356 | inception4c.branch2.0.conv [125, 228, 0, 0] bit 30
 74) Inj   3429 | FRcrit=0.898438 | maj=3@0.80 Δmax=0.695 KL=1.579 | inception4c.branch2.0.conv [90, 324, 0, 0] bit 30
 75) Inj   8996 | FRcrit=0.898438 | maj=5@0.63 Δmax=0.543 KL=1.583 | inception4c.branch2.0.conv [91, 313, 0, 0] bit 30
 76) Inj  14973 | FRcrit=0.898438 | maj=6@0.92 Δmax=0.793 KL=1.787 | inception4c.branch2.0.conv [11, 468, 0, 0] bit 30
 77) Inj  12923 | FRcrit=0.898438 | maj=5@0.77 Δmax=0.684 KL=1.794 | inception4c.branch2.0.conv [20, 56, 0, 0] bit 30
 78) Inj  15892 | FRcrit=0.894531 | maj=5@0.51 Δmax=0.422 KL=1.417 | inception4c.branch2.0.conv [87, 258, 0, 0] bit 30
 79) Inj  10851 | FRcrit=0.890625 | maj=5@0.63 Δmax=0.547 KL=1.606 | inception4c.branch2.0.conv [49, 186, 0, 0] bit 30
