[PROP/wald] K=1  FRcrit_avg=0.02427872  conf=0.99  steps=1  n=1941
half_norm=0.00899930  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=2097152
EP_control=wald  E_wald_final=0.00899930
Wald_CI(99%):   [0.01527942, 0.03327803]   half=0.00899930   se=0.00349352   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.12181905 (n=1941)
injections_used=1941  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06823359415249872, 0.1527744236218444, 0.08935068907779495, 0.10676077086553323, 0.08027836810922205, 0.08572015069551778, 0.12739084234930448, 0.09262904108706853, 0.084667616563627, 0.11219450347758887] Δmax = 0.008 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.275 ΔH = 0.002 BER = 0.0244 per_class = [0.02009273570324575, 0.008814069092276201, 0.022265528750308, 0.01707787127673784, 0.01955177743431221, 0.01854714064914992, 0.018984278644247732, 0.05283874291602267, 0.019624373565640955, 0.04653958440666323] agree = 0.976 flip_asym = 0.758

[E_seq] n, E_wald
664,0.01709614
1941,0.00899930

[E_final] E_wald=0.00899930

Top-100 worst injections (proposed iter EP)
 64) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [52, 302, 0, 0] bit 21
 65) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [124, 16, 0, 0] bit 6
 66) Inj   1054 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [80, 63, 0, 0] bit 17
 67) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [10, 175, 0, 0] bit 11
 68) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [27, 184, 0, 0] bit 21
 69) Inj    566 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [120, 280, 0, 0] bit 5
 70) Inj   1221 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [17, 281, 0, 0] bit 17
 71) Inj    755 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [105, 425, 0, 0] bit 5
 72) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [10, 260, 0, 0] bit 25
 73) Inj    620 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [9, 38, 0, 0] bit 20
 74) Inj    713 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [127, 428, 0, 0] bit 12
 75) Inj    692 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [7, 222, 0, 0] bit 13
 76) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [54, 274, 0, 0] bit 7
 77) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [41, 9, 0, 0] bit 11
 78) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [76, 241, 0, 0] bit 17
 79) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [54, 266, 0, 0] bit 5
 80) Inj    784 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [40, 442, 0, 0] bit 13
 81) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [76, 352, 0, 0] bit 23
 82) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [0, 110, 0, 0] bit 23
 83) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [72, 366, 0, 0] bit 21
 84) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [82, 122, 0, 0] bit 10
 85) Inj    618 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [50, 94, 0, 0] bit 5
 86) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [114, 181, 0, 0] bit 6
 87) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [62, 267, 0, 0] bit 12
 88) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [22, 433, 0, 0] bit 26
 89) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [19, 378, 0, 0] bit 18
 90) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [61, 177, 0, 0] bit 7
 91) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [86, 413, 0, 0] bit 30
 92) Inj   1152 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [31, 367, 0, 0] bit 29
 93) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [85, 250, 0, 0] bit 28
 94) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [75, 338, 0, 0] bit 9
 95) Inj    798 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [107, 386, 0, 0] bit 20
 96) Inj   1141 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [30, 115, 0, 0] bit 27
 97) Inj   1145 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [19, 126, 0, 0] bit 14
 98) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [76, 226, 0, 0] bit 28
 99) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [104, 355, 0, 0] bit 28
100) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4c.branch1.conv [119, 405, 0, 0] bit 12
