[PROP/wald] K=1  FRcrit_avg=0.01831158  conf=0.99  n=16590
half_norm=0.00268147  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=4325376
EP_control=wald  E_wald_final=0.00268147
Wald_CI(99%):   [0.01563011, 0.02099304]   half=0.00268147   se=0.00104094   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10048343 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06960753842676311, 0.14285266915310427, 0.090796648960217, 0.10658811784207353, 0.08104397415611814, 0.08610208521699819, 0.12864489150090416, 0.09500499171187463, 0.08603851152802894, 0.11332057150391803] Δmax = 0.004 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0179 per_class = [0.011878168989114634, 0.012628903768144274, 0.014364336818932306, 0.0106869376911571, 0.012082579867389994, 0.01154309825195901, 0.01139605823150127, 0.04426039783001808, 0.01156775713737739, 0.03889893510146675] agree = 0.982 flip_asym = 0.581

[E_seq] n, E_wald
16590,0.00268147

[E_final] E_wald=0.00268147

Top-100 worst injections
 74) Inj   6780 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [140, 250, 0, 0] bit 30
 75) Inj   8206 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [206, 239, 0, 0] bit 30
 76) Inj   4442 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [235, 33, 0, 0] bit 30
 77) Inj  14739 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [91, 14, 0, 0] bit 30
 78) Inj  15610 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [147, 333, 0, 0] bit 30
 79) Inj  11189 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [61, 448, 0, 0] bit 30
 80) Inj   5647 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [76, 492, 0, 0] bit 30
 81) Inj   7957 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [92, 191, 0, 0] bit 30
 82) Inj   7314 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [15, 42, 0, 0] bit 30
 83) Inj   7026 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [123, 491, 0, 0] bit 30
 84) Inj  13274 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [88, 523, 0, 0] bit 30
 85) Inj   7617 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [34, 291, 0, 0] bit 30
 86) Inj  11305 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [102, 354, 0, 0] bit 30
 87) Inj  10069 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [195, 87, 0, 0] bit 30
 88) Inj   8920 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [140, 277, 0, 0] bit 30
 89) Inj  16027 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [234, 54, 0, 0] bit 30
 90) Inj  12599 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [116, 388, 0, 0] bit 30
 91) Inj  13733 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [165, 124, 0, 0] bit 30
 92) Inj   6453 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [98, 428, 0, 0] bit 30
 93) Inj  12893 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [171, 300, 0, 0] bit 30
 94) Inj  10494 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [102, 11, 0, 0] bit 30
 95) Inj   9926 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [211, 224, 0, 0] bit 30
 96) Inj   7694 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [50, 333, 0, 0] bit 30
 97) Inj  15885 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [134, 45, 0, 0] bit 30
 98) Inj  15284 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [139, 165, 0, 0] bit 30
 99) Inj   7900 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [60, 417, 0, 0] bit 30
100) Inj  12980 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception4e.branch1.conv [206, 486, 0, 0] bit 30
