[PROP/wald] K=1  FRcrit_avg=0.01473144  conf=0.99  n=16590
half_norm=0.00240948  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=21233664
EP_control=wald  E_wald_final=0.00240948
Wald_CI(99%):   [0.01232196, 0.01714091]   half=0.00240948   se=0.00093536   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.08338691 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07034828963230862, 0.1439944055153707, 0.08982773884870404, 0.10573340491259794, 0.08160483536769138, 0.08626007760699217, 0.12825756291440626, 0.09395720313441833, 0.08613881668173598, 0.11387766538577457] Δmax = 0.004 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0144 per_class = [0.007431833492890828, 0.007995699134939641, 0.011714757449485023, 0.007967762820083496, 0.007899336949969861, 0.007718231135952655, 0.00829086525289057, 0.04177697408077155, 0.00783056605841416, 0.03488045007032349] agree = 0.985 flip_asym = 0.619

[E_seq] n, E_wald
16590,0.00240948

[E_final] E_wald=0.00240948

Top-100 worst injections
 43) Inj   5230 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [346, 42, 1, 0] bit 30
 44) Inj   9659 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [304, 125, 1, 1] bit 30
 45) Inj   8764 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [231, 135, 1, 0] bit 30
 46) Inj  11184 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [276, 157, 1, 0] bit 30
 47) Inj   4043 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [122, 13, 1, 2] bit 30
 48) Inj   9864 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [169, 75, 1, 1] bit 30
 49) Inj  15074 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [34, 45, 1, 2] bit 30
 50) Inj   7954 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [128, 7, 1, 0] bit 30
 51) Inj  14355 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [174, 51, 0, 0] bit 30
 52) Inj  15674 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [233, 49, 2, 1] bit 30
 53) Inj  13339 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [271, 25, 2, 0] bit 30
 54) Inj   6757 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [181, 72, 0, 2] bit 30
 55) Inj   8588 | FRcrit=0.914062 | maj=4@0.99 Δmax=0.914 KL=2.494 | inception5b.branch2.1.conv [254, 77, 0, 1] bit 30
 56) Inj  14442 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [100, 52, 0, 1] bit 30
 57) Inj   7349 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [141, 106, 2, 0] bit 30
 58) Inj   9814 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [101, 143, 2, 0] bit 30
 59) Inj  11257 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [181, 143, 1, 1] bit 30
 60) Inj   7427 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [104, 181, 2, 1] bit 30
 61) Inj  12989 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [34, 94, 0, 1] bit 30
 62) Inj  14283 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [276, 138, 0, 1] bit 30
 63) Inj  14596 | FRcrit=0.914062 | maj=8@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [111, 33, 1, 1] bit 30
 64) Inj  11158 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.914 KL=2.454 | inception5b.branch2.1.conv [252, 46, 0, 0] bit 30
 65) Inj   2325 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [84, 185, 0, 2] bit 30
 66) Inj   4272 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [338, 103, 0, 1] bit 30
 67) Inj   4990 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [278, 186, 2, 0] bit 30
 68) Inj   7286 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [299, 91, 2, 2] bit 30
 69) Inj   9912 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [195, 132, 2, 0] bit 30
 70) Inj   9014 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [84, 189, 0, 1] bit 30
 71) Inj   4306 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [187, 190, 1, 1] bit 30
 72) Inj   5438 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception5b.branch2.1.conv [366, 84, 1, 2] bit 30
