[PROP/wald] K=1  FRcrit_avg=0.02155950  conf=0.99  steps=1  n=1404
half_norm=0.00998502  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=1048576
EP_control=wald  E_wald_final=0.00998502
Wald_CI(99%):   [0.01157448, 0.03154451]   half=0.00998502   se=0.00387617   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11166756 (n=1404)
injections_used=1404  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06909666577635327, 0.14876580306267806, 0.09021656873219373, 0.10613926727207977, 0.0815749643874644, 0.08589298433048433, 0.12679732015669515, 0.09280960648148148, 0.08452969195156695, 0.11417712784900284] Δmax = 0.005 KL = 0.000 TV = 0.011 H_baseline = 2.277 H_global = 2.278 ΔH = -0.001 BER = 0.0215 per_class = [0.01608848667672197, 0.009875259875259876, 0.018146909451257277, 0.014930885301255671, 0.015242165242165243, 0.015572390572390573, 0.016468099801433135, 0.05, 0.01638176638176638, 0.04195156695156695] agree = 0.978 flip_asym = 0.673

[E_seq] n, E_wald
664,0.01453919
1404,0.00998502

[E_final] E_wald=0.00998502

Top-100 worst injections (proposed iter EP)
 77) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [27, 133, 0, 0] bit 2
 78) Inj    516 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [46, 187, 0, 0] bit 24
 79) Inj    525 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [39, 201, 0, 0] bit 16
 80) Inj    998 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [9, 445, 0, 0] bit 9
 81) Inj    557 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [48, 93, 0, 0] bit 26
 82) Inj    756 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [62, 36, 0, 0] bit 1
 83) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [59, 458, 0, 0] bit 22
 84) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [11, 216, 0, 0] bit 29
 85) Inj    940 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [37, 425, 0, 0] bit 4
 86) Inj   1069 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 176, 0, 0] bit 11
 87) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [57, 90, 0, 0] bit 19
 88) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [62, 8, 0, 0] bit 3
 89) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [27, 137, 0, 0] bit 3
 90) Inj   1168 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [52, 177, 0, 0] bit 30
 91) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [42, 381, 0, 0] bit 14
 92) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [5, 130, 0, 0] bit 12
 93) Inj    798 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [53, 449, 0, 0] bit 10
 94) Inj   1145 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [9, 319, 0, 0] bit 7
 95) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [36, 183, 0, 0] bit 10
 96) Inj   1151 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [0, 55, 0, 0] bit 11
 97) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 113, 0, 0] bit 14
 98) Inj   1068 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [38, 120, 0, 0] bit 24
 99) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [31, 133, 0, 0] bit 22
100) Inj   1005 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch4.1.conv [13, 348, 0, 0] bit 10
