[PROP/wald] K=1  FRcrit_avg=0.02183454  conf=0.99  steps=2  n=116152
half_norm=0.00098989  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=589824
EP_control=wald  E_wald_final=0.00098989
Wald_CI(99%):   [0.02084464, 0.02282443]   half=0.00098989   se=0.00038428   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.11425846 (n=116152)
injections_used=116152  pilot=663  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06845017735381224, 0.14613031308113505, 0.10037157668400028, 0.10406420573903162, 0.08007032272367243, 0.08481525016788347, 0.12675369612662718, 0.09277468182855224, 0.08449592855697706, 0.11207384773830842] Δmax = 0.011 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0215 per_class = [0.016824303245645666, 0.012680960456289336, 0.008378077302006067, 0.01684765556244308, 0.016721623390040637, 0.016569589065112172, 0.01678338937275503, 0.050002755010675665, 0.01681691388713222, 0.043799791078357096] agree = 0.978 flip_asym = 0.924

[E_seq] n, E_wald
663,0.01497579
70985,0.00133877
116152,0.00098989

[E_final] E_wald=0.00098989

Top-100 worst injections (proposed iter EP)
 76) Inj 107894 | FRcrit=0.917969 | maj=2@0.61 Δmax=0.523 KL=1.717 | inception3a.branch2.0.conv [82, 185, 0, 0] bit 30
 77) Inj 103765 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.871 KL=2.246 | inception3a.branch2.0.conv [80, 40, 0, 0] bit 30
 78) Inj  94615 | FRcrit=0.917969 | maj=2@0.84 Δmax=0.754 KL=1.855 | inception3a.branch2.0.conv [87, 126, 0, 0] bit 30
 79) Inj  99481 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.840 KL=2.158 | inception3a.branch2.0.conv [94, 60, 0, 0] bit 30
 80) Inj 114987 | FRcrit=0.917969 | maj=2@0.64 Δmax=0.547 KL=1.771 | inception3a.branch2.0.conv [82, 47, 0, 0] bit 30
 81) Inj  89693 | FRcrit=0.917969 | maj=1@0.53 Δmax=0.387 KL=1.466 | inception3a.branch2.0.conv [45, 78, 0, 0] bit 30
 82) Inj  61779 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.891 KL=2.304 | inception3a.branch2.0.conv [12, 160, 0, 0] bit 30
 83) Inj  98294 | FRcrit=0.917969 | maj=5@0.62 Δmax=0.539 KL=1.718 | inception3a.branch2.0.conv [26, 171, 0, 0] bit 30
 84) Inj  31481 | FRcrit=0.917969 | maj=2@0.94 Δmax=0.848 KL=2.146 | inception3a.branch2.0.conv [75, 1, 0, 0] bit 30
 85) Inj 112340 | FRcrit=0.917969 | maj=2@0.99 Δmax=0.898 KL=2.346 | inception3a.branch2.0.conv [57, 38, 0, 0] bit 30
 86) Inj  61771 | FRcrit=0.917969 | maj=5@0.59 Δmax=0.500 KL=1.736 | inception3a.branch2.0.conv [82, 168, 0, 0] bit 30
 87) Inj  81558 | FRcrit=0.917969 | maj=2@0.89 Δmax=0.805 KL=2.077 | inception3a.branch2.0.conv [80, 16, 0, 0] bit 30
 88) Inj 111599 | FRcrit=0.917969 | maj=5@0.54 Δmax=0.457 KL=1.722 | inception3a.branch2.0.conv [69, 118, 0, 0] bit 30
 89) Inj  32408 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.867 KL=2.234 | inception3a.branch2.0.conv [22, 40, 0, 0] bit 30
 90) Inj  74274 | FRcrit=0.917969 | maj=2@0.87 Δmax=0.777 KL=1.955 | inception3a.branch2.0.conv [75, 108, 0, 0] bit 30
 91) Inj  76889 | FRcrit=0.917969 | maj=2@0.93 Δmax=0.836 KL=2.120 | inception3a.branch2.0.conv [34, 60, 0, 0] bit 30
 92) Inj  96006 | FRcrit=0.917969 | maj=5@0.43 Δmax=0.340 KL=1.273 | inception3a.branch2.0.conv [62, 185, 0, 0] bit 30
 93) Inj 114923 | FRcrit=0.917969 | maj=2@0.88 Δmax=0.789 KL=1.983 | inception3a.branch2.0.conv [1, 78, 0, 0] bit 30
 94) Inj 110515 | FRcrit=0.917969 | maj=2@0.97 Δmax=0.879 KL=2.246 | inception3a.branch2.0.conv [34, 171, 0, 0] bit 30
 95) Inj 104469 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.871 KL=2.246 | inception3a.branch2.0.conv [17, 96, 0, 0] bit 30
 96) Inj  94681 | FRcrit=0.917969 | maj=2@0.92 Δmax=0.832 KL=2.098 | inception3a.branch2.0.conv [61, 92, 0, 0] bit 30
 97) Inj  56267 | FRcrit=0.914062 | maj=2@0.91 Δmax=0.820 KL=2.050 | inception3a.branch2.0.conv [1, 72, 0, 0] bit 30
 98) Inj  57707 | FRcrit=0.914062 | maj=2@0.96 Δmax=0.867 KL=2.212 | inception3a.branch2.0.conv [75, 68, 0, 0] bit 30
 99) Inj  58046 | FRcrit=0.914062 | maj=2@1.00 Δmax=0.906 KL=2.382 | inception3a.branch2.0.conv [12, 180, 0, 0] bit 30
100) Inj  58407 | FRcrit=0.914062 | maj=2@0.84 Δmax=0.754 KL=1.983 | inception3a.branch2.0.conv [31, 155, 0, 0] bit 30
