[PROP/wald] K=1  FRcrit_avg=0.02071804  conf=0.99  steps=4  n=56820
half_norm=0.00099995  e_goal=0.00100000  FPC=on  DESIGN=WOR  N_pop=98304
EP_control=wald  E_wald_final=0.00099995
Wald_CI(99%):   [0.01971809, 0.02171800]   half=0.00099995   se=0.00038818   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.11070828 (n=56820)
injections_used=56820  pilot=660  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855936235040479, 0.14284239154347061, 0.09972645250351989, 0.10421149023231256, 0.08017787805790215, 0.08776124164026751, 0.12695188753959874, 0.09290900816173882, 0.08462262957585358, 0.11223765839493136] Δmax = 0.010 KL = 0.001 TV = 0.016 H_baseline = 2.277 H_global = 2.280 ΔH = -0.004 BER = 0.0202 per_class = [0.015293910594860965, 0.014751657676684076, 0.007804967632340113, 0.015435357920398398, 0.015295670538542767, 0.01226760743656203, 0.01532537625462652, 0.04862935586061246, 0.01531790982688554, 0.04224920802534319] agree = 0.979 flip_asym = 0.928

[E_seq] n, E_wald
660,0.01591541
44568,0.00127168
56317,0.00101038
56813,0.00100014
56820,0.00099995

[E_final] E_wald=0.00099995

Top-100 worst injections (proposed iter EP)
 80) Inj  32961 | FRcrit=0.917969 | maj=5@0.89 Δmax=0.809 KL=2.015 | inception3a.branch3.0.conv [10, 69, 0, 0] bit 30
 81) Inj  32690 | FRcrit=0.917969 | maj=5@0.91 Δmax=0.820 KL=2.060 | inception3a.branch3.0.conv [10, 90, 0, 0] bit 30
 82) Inj  29265 | FRcrit=0.917969 | maj=2@0.98 Δmax=0.895 KL=2.322 | inception3a.branch3.0.conv [3, 175, 0, 0] bit 30
 83) Inj  24130 | FRcrit=0.917969 | maj=5@0.97 Δmax=0.887 KL=2.315 | inception3a.branch3.0.conv [2, 174, 0, 0] bit 30
 84) Inj  56204 | FRcrit=0.917969 | maj=5@0.98 Δmax=0.895 KL=2.357 | inception3a.branch3.0.conv [10, 131, 0, 0] bit 30
 85) Inj  44178 | FRcrit=0.917969 | maj=2@0.88 Δmax=0.793 KL=2.054 | inception3a.branch3.0.conv [14, 25, 0, 0] bit 30
 86) Inj  55828 | FRcrit=0.917969 | maj=5@0.95 Δmax=0.863 KL=2.235 | inception3a.branch3.0.conv [10, 96, 0, 0] bit 30
 87) Inj  13308 | FRcrit=0.917969 | maj=5@0.96 Δmax=0.879 KL=2.269 | inception3a.branch3.0.conv [10, 34, 0, 0] bit 30
 88) Inj  14069 | FRcrit=0.917969 | maj=2@0.87 Δmax=0.781 KL=2.031 | inception3a.branch3.0.conv [14, 13, 0, 0] bit 30
 89) Inj  49057 | FRcrit=0.917969 | maj=5@0.89 Δmax=0.805 KL=2.061 | inception3a.branch3.0.conv [2, 107, 0, 0] bit 30
 90) Inj  34957 | FRcrit=0.917969 | maj=5@0.79 Δmax=0.703 KL=1.733 | inception3a.branch3.0.conv [10, 46, 0, 0] bit 30
 91) Inj  52233 | FRcrit=0.917969 | maj=5@0.77 Δmax=0.680 KL=1.684 | inception3a.branch3.0.conv [10, 120, 0, 0] bit 30
 92) Inj  36994 | FRcrit=0.917969 | maj=2@0.96 Δmax=0.875 KL=2.241 | inception3a.branch3.0.conv [15, 187, 0, 0] bit 30
 93) Inj  45539 | FRcrit=0.917969 | maj=2@0.91 Δmax=0.824 KL=2.120 | inception3a.branch3.0.conv [5, 54, 0, 0] bit 30
 94) Inj  26059 | FRcrit=0.914062 | maj=5@0.98 Δmax=0.898 KL=2.358 | inception3a.branch3.0.conv [10, 143, 0, 0] bit 30
 95) Inj  32543 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.887 KL=2.289 | inception3a.branch3.0.conv [9, 88, 0, 0] bit 30
 96) Inj  27562 | FRcrit=0.914062 | maj=5@0.99 Δmax=0.906 KL=2.404 | inception3a.branch3.0.conv [10, 104, 0, 0] bit 30
 97) Inj  33061 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.891 KL=2.295 | inception3a.branch3.0.conv [9, 11, 0, 0] bit 30
 98) Inj  27564 | FRcrit=0.914062 | maj=5@1.00 Δmax=0.910 KL=2.427 | inception3a.branch3.0.conv [10, 22, 0, 0] bit 30
 99) Inj  32197 | FRcrit=0.914062 | maj=2@0.70 Δmax=0.613 KL=1.815 | inception3a.branch3.0.conv [5, 171, 0, 0] bit 30
100) Inj  33499 | FRcrit=0.914062 | maj=2@0.98 Δmax=0.887 KL=2.287 | inception3a.branch3.0.conv [15, 186, 0, 0] bit 30
